[00:01] 我们说一下这个漫居系统的一个完整的一个情况
[05:42] 你可以自己新建很多很多个项目
[05:44] 新建很多很多个对应的这种剧本
[05:47] 然后在这里生成每一个剧本
[05:49] 在后面的流程里面
[05:50] 它是根据剧本来分线的
[05:53] 但我们讨论以后
[05:55] 我觉得这个功能是逻辑不合理的
[05:57] 因为它用选它不方便
[05:59] 比如说你在这里分成了分析剧本
[06:02] 一新文件二新文件三
[06:04] 你可以加一堆
[06:05] 它原来的逻辑是
[06:07] 我点新文件二去点后面的素材
[06:09] 掉的就是新文件二的素材
[06:11] 我看不到一的素材
[06:12] 我反过来要看一的素材
[06:14] 得回到剧本里面再点一
[06:17] 然后反回三的话
[06:18] 我又得就是包括后面配音这些
[06:21] 它每一个剧本
[06:22] 它都会产生一连串的后续的这种
[06:24] 就是分支的这种东西
[06:26] 但是这个东西它在上面切换不了
[06:28] 在里面也切不了
[06:29] 你必须回到剧本这里再做切换
[06:31] 而且本身一级里面我的分级剧本
[06:35] 我其实就是按照这个
[06:37] 本身它文字脚本产生的分级
[06:38] 就会比较多了
[06:40] 我没有必要说是在产生那么多
[06:42] 那么我后来也问过
[06:44] 就是原来产品设计
[06:45] 它为什么要做这个功能
[06:46] 它的功能实际上需求就是说
[06:49] 它这里可以根据同一个剧本
[06:51] 然后多次生成
[06:53] 最后它可以选一个
[06:55] 它觉得比较好的这个剧本
[06:57] 然后就往后面做
[06:58] 所以我觉得这个逻辑
[07:00] 所以我也改了
[07:01] 这个逻辑就是
[07:01] 你可以设置某一个社为主剧本
[07:04] 一旦设为主剧本以后
[07:06] 后面的这一些它就挂主剧本了
[07:08] 它就不再按照就是不挂的这个剧本
[07:11] 其他的这些只做一个曹管功能来看
[07:13] 我觉得哪个好
[07:14] 或者我希望重新生成
[07:16] 我可以在新剧本的基础上
[07:18] 再做一点流程
[07:19] 所有这些剧本生成的后续的
[07:21] 这些东西都是合并的
[07:22] 就比如说生成的素材
[07:24] 它不会说是换一个剧本
[07:25] 后面的素材就没了
[07:27] 而是换一个剧本以后
[07:28] 原来的素材保留
[07:29] 它可以生成新的素材
[07:32] 那这是可以切换的
[07:34] 那我们切回这一个
[07:35] 我们按三步走走一遍
[07:37] 那么点了以后
[07:38] 它自然的就会执行这三步
[07:41] 从这里开始
[07:42] 它会生成一个分段
[07:44] 它自己分
[07:45] 然后它会提取成一个分镜的脚本
[07:48] 然后并且生成一个镜头设计
[07:51] 这两个功能是自动的
[07:52] 但是这里有一个很大的问题
[07:55] 就是说我们实际上是
[07:58] 在生成视频的时候
[07:59] 会用这里的分镜脚本和镜头设计
[08:02] 来作为一个基础的原型
[08:03] 因为小说它毕竟不能直接一下子
[08:06] 就来生成对应的这个功能
[08:08] 所以这里我需要它拆镜头
[08:10] 但是现在它这个镜头拆的它还散
[08:13] 你看我本来给它的剧本
[08:15] 我其实已经拆好了
[08:17] 就是场景一场景二场景三
[08:19] 每个场景大概就是
[08:21] 因为《寂寞》最长可以做15秒的视频
[08:24] 所以一般是10到15秒的视频
[08:26] 是比较好的
[08:27] 我们正常在这边的话
[08:29] 我希望它的剧本
[08:30] 如果说是在连续的镜头里面
[08:33] 我为了减少制作的难度
[08:35] 我希望它的镜头是基本上
[08:37] 在确保在10秒到15秒左右的
[08:40] 这样的话我不用做太多的镜头
[08:42] 有两个好处
[08:44] 第一个是这个秒数变长的话
[08:45] 我一个镜头同步生成
[08:47] 它的连续度会比较好
[08:49] 而且它自己也可以做一些过场
[08:51] 或者怎么样会比较自然
[08:53] 第二个是这个15秒我生成一次
[08:55] 如果说这个镜头本来
[08:57] 它15秒是同一个场景里面
[08:59] 它没有转场的情况下
[09:02] 你如果分成那么多细碎的
[09:04] 每一次的视频在转场的时候
[09:06] 它都会有一些问题
[09:07] 你需要用前一个视频的尾针
[09:09] 去变成后一个视频的手针
[09:11] 再用手尾针去做
[09:13] 分得特别多的话就特别难受
[09:16] 那么在这个地方
[09:17] 基本上它现在我们可以看到它完成了
[09:20] 提取以后可以支持再一部边际
[09:23] 但是这里边际我发现一个问题
[09:25] 这里边际它并不支持
[09:27] 后面生成这里的修改
[09:29] 而且现在这里边际完
[09:31] 再生成的话它会在后面继续加
[09:33] 就是镜头11之后重复的继续加镜头
[09:37] 这个是逻辑上有一点问题的
[09:39] 那么我们先不管
[09:40] 就是可以调历史版本这个里面
[09:43] 可以保存历史版本
[09:44] 这个都是比较好的功能
[09:45] 它也支持自由创作
[09:47] 自由创作它又回到这个画布这里了
[09:50] 但是我们现在需要的功能的话
[09:53] 我觉得这里可以改一下
[09:55] 首先分析剧本
[09:58] 其实我是希望每一次输入的分析剧本
[10:02] 它可以多次的按版本来生成的
[10:05] 但是生成以后
[10:07] 我可以要求这个版本里面改一下
[10:09] 就像我跟其他的AI对话
[10:11] CodeX对话等等对话这种
[10:14] 其实我可以要求
[10:15] 比如说我现在觉得
[10:17] 你这个分的镜头时长太长了
[10:19] 它时长太短了
[10:20] 分成的这个镜头太多了
[10:22] 我要求你只分三个镜头或者四个镜头
[10:25] 你现在分成了十个镜头
[10:27] 我觉得不太方便
[10:28] 那么我可以直接跟它说
[10:30] 就像对话模式一样
[10:32] 我说完以后它这些同步的
[10:34] 就会完整的调和改变
[10:36] 现在这个是不支持的
[10:37] 所以我认为应该是实现那样的功能
[10:40] 而且我们比较熟悉的
[10:41] 是一种对话窗的模式
[10:43] 不管是切模型切什么
[10:45] 都应该是用我们习惯的这种方式来
[10:48] 对话窗里面可以输入我们实际上的剧本
[10:52] 或者对它的要求等等
[10:54] 这里就这一块就变成一个对话窗模式
[10:56] 左边可以变成各种操搞
[10:58] 但是每个分支
[11:00] 每一个剧本的操搞
[11:02] 我具体选中的那一个点进去
[11:04] 它右边都应该是一个对话窗
[11:06] 这里就跟新对话一样
[11:08] 这边是一个对话窗
[11:10] 然后右边再增加一个可折叠的这种资产
[11:13] 就类似于这个深沉的镜头
[11:16] 它就是一种资产
[11:17] 因为我要用这个镜头
[11:19] 最终去对应的深沉对应的内容
[11:23] 你看它这它执行了一次以后
[11:26] 很多东西它都会全部捅不到这里
[11:28] 而且它会弹很多窗口
[11:30] 这也是不需要的
[11:31] 其实它一个深沉结束
[11:33] 它给我一个坦克就可以了
[11:35] 然后资产实际上就是我的镜头
[11:37] 因为从这里开始
[11:39] 我对应后面的整个设计的逻辑
[11:41] 基本上都分出来了
[11:42] 它分为三种
[11:44] 第一种是上面的标签
[11:45] 这个标签
[11:46] 比如说蓝色的它是角色
[11:48] 第二种
[11:50] 红色的 深红色这种
[11:52] 它是场景
[11:53] 第三种它其实是道具
[11:55] 但是有时候它会识别错晚
[11:57] 你看就是报表 电脑 键盘
[12:01] 它识别是对的
[12:02] 这个办公桌
[12:03] 但有时候办公桌
[12:04] 我们也希望它作为一个场景来使用
[12:07] 那么我们就需要在这个地方
[12:09] 进行一个区分
[12:11] 它这里的区分我觉得是OK的
[12:14] 它区分为场景
[12:15] 然后接下来人物对白
[12:17] 就是把剩下的剩下的
[12:20] 分镜脚本里面的人物对白
[12:22] 给它区分出来了
[12:23] 然后接下来
[12:24] 这个是深图的一个提示词
[12:26] Prompt
[12:27] 那么这个是什么意思呢
[12:28] 就是我现在剧本
[12:30] 变成了一个分镜的镜头了
[12:32] 那么在这里
[12:32] 我是希望通过这个东西
[12:34] 能深层后面的素材
[12:35] 就是具体这个场景是怎么样的
[12:38] 然后后面生成视频
[12:39] 它这个剧本
[12:40] 视频是怎么样的
[12:41] 画面是怎么样的
[12:42] 镜头是怎么样的
[12:43] 音效是怎么样的
[12:44] 它把它分开了
[12:46] 这个用来深进
[12:47] 这个用来深视频提示词
[12:49] 就从这里开始
[12:50] 我改完提示词
[12:51] 后面我就会按照
[12:53] 这个生成的标准提示词
[12:54] 来进行整个短缺的制作
[12:57] 但是现在它这个系统里面的问题是
[13:00] 第一它生成的这个深图
[13:02] 这个我们可能不太好改
[13:05] 然后我必须自己手动的改
[13:08] 而不能重新生成
[13:09] 重新生成它还是重新生成一遍
[13:12] 甚至它往后边累加
[13:13] 这个不方便
[13:15] 还有就是它这里窗口太小了
[13:18] 我根本看不清
[13:19] 而且它这个就是要复制出来
[13:22] 再改这也不方便
[13:24] 就是它复制出来
[13:25] 我要用第三方工去贴进去
[13:27] 再改再贴回来
[13:28] 那么这个我觉得应该设计
[13:31] 按它的逻辑是没问题的
[13:32] 但是应该设计成一个比较标准的
[13:34] 我方便看
[13:36] 就像一个很标准的卡片一样
[13:38] 然后我一个镜头一个镜头就去贴
[13:40] 然后我也可以在当中夹就可以了
[13:42] 它这里的逻辑有一个要保留的
[13:44] 就是它的人物卡
[13:46] 人物的标签
[13:47] 你看它识别出小物
[13:48] 小空小物这是我们设计的两个角色
[13:52] 一个机器人
[13:52] 一个是那个就是小猴子
[13:55] 然后它这边都是统一的
[13:57] 你看它这边都是统一的
[13:58] 就说明它这个统一的标准
[14:00] 就能使得后面生成人物的时候
[14:03] 它能够标准化
[14:05] 绑定小物小空
[14:06] 就不会说是一个镜头一个人
[14:08] 一个镜头一个人
[14:09] 而是统一一个镜头
[14:11] 只要这个标签的名字是一样的
[14:13] 它就会绑定同一个人
[14:14] 这个是很好的
[14:16] 然后包括像办公室
[14:17] 这个是场景
[14:18] 下面它也叫办公室
[14:19] 那么这两个
[14:22] 第四场景和一场景
[14:23] 那么它就是一定是用统一的图
[14:25] 来生成
[14:26] 不会造成场景跳跃
[14:28] 镜头一历史办公室
[14:29] 镜头三
[14:30] 它又变成另一个法通的办公室了
[14:32] 就是那么
[14:33] 但是它识别有时候是不准的
[14:36] 有时候就需要我们去加
[14:39] 像这种我们就是可以直接加进来
[14:41] 它没有识别
[14:43] 然后道具我们比如说
[14:45] 我们可以就是
[14:48] 它是根据这个标签来识别道具的
[14:50] 那么我们这些是可以加的
[14:51] 加完以后可以保存
[14:53] 确认保存以后
[14:54] 它会生成多个历史版本
[14:56] 我可以调整对应的版本
[14:58] 这个功能也是需要的
[14:59] 但是就是总体来说
[15:01] 这个页面的设计要大改
[15:04] 我在重复一遍
[15:05] 我认为的设计就是
[15:07] 第一个
[15:07] 这边应该变成它本身是一个对话模式
[15:10] 是比较方便来操作这个功能的
[15:12] 我可以多次提要求
[15:13] 让它生成对应的东西就可以了
[15:15] 生成东西的话
[15:17] 这边就是按新对话来设计
[15:19] 这两个框合并掉了
[15:21] 这两个框
[15:22] 这里的框改写的文件
[15:23] 这个就是我的一个对应
[15:26] 我们AI的一个输入框
[15:28] 我在下面可以输入内容的
[15:30] 然后我跟它对话的一个框
[15:32] 对话以后
[15:33] 分禁脚本
[15:34] 这个就是每一次对话
[15:36] 它自然生成的反馈的结果
[15:39] 我觉得这个结果不好
[15:40] 我就继续让它再生成
[15:43] 生成完以后
[15:44] 这个结果后面会有一个
[15:45] 是否生成镜头设计
[15:47] 就是分禁脚本
[15:48] 我觉得OK了
[15:49] 我点生成镜头设计
[15:50] 那么可以参考
[15:52] 就是Codex
[15:52] 还有就是参考Cloud的模式
[15:55] 就是正常这个右边是折叠的
[15:57] 只保留一个大的窗口
[15:58] 这样我很方便操作
[15:59] 也很方便看这些内容
[16:01] 然后最终生成完了
[16:04] 比如说这里它生成的镜头
[16:05] 它有10个镜头
[16:06] 我觉得太多了
[16:07] 我就跟它说
[16:07] 你改成5个镜头
[16:08] 每个镜头长度增加
[16:10] 然后最终生成一个很完善
[16:12] 我觉得很OK的版本
[16:13] 然后我就在下面
[16:15] 它有一个操作模式点
[16:16] 给它生成镜头设计
[16:18] 那么在右边它就会是
[16:19] 展开一个镜头设计的这样一个
[16:22] 类似于资产的一个新的卡片
[16:24] 然后这个也可以收缩
[16:26] 我可以继续修改
[16:27] 再生成
[16:27] 然后生成完这个东西里面的逻辑
[16:30] 我觉得可以按照它这个
[16:32] 分成三种
[16:33] 第一个是标签
[16:34] 第二个人物对摆
[16:35] 第三个是生图
[16:36] 第四个是视频的这个prompt
[16:38] 这几个生成以后
[16:39] 但是要很方便的来查看
[16:41] 每一个镜头的具体情况
[16:43] 我也方便查看
[16:44] 也方便改
[16:45] 我也可以在这边直接改以后
[16:47] 更新它
[16:47] 然后这里的插入新分镜
[16:49] 等等这些功能都保留
[16:51] 好 这里完成以后
[16:53] 有一个视频反推
[16:55] 这个功能
[16:56] 现在这个视频反推这里没有
[16:59] 我们可以看一个就是
[17:01] 有那个视频反推的
[17:06] 一个账号
[17:21] 这个没有
[17:30] 这里有一个视频反推
[17:32] 那么我们可以看一下
[17:33] 这个视频反推的功能
[17:35] 在它这里
[17:35] 其实这个视频反推的功能挺机类的
[17:38] 它就是上传一个视频
[17:40] 然后扣一定的积分
[17:41] 然后它就调本地的GPU
[17:44] 会把这个画面和这个就是提示词
[17:48] 反的提示词分镜
[17:51] 还有就是这个结构画的输出都出来
[17:53] 然后它现在其实这里的工具
[17:55] 它就只支持一个复制
[17:57] 没有别的功能
[17:58] 我认为这个功能其实可以完全的作为
[18:01] 这个剧本的一个功能来做
[18:05] 比如说我现在是输入剧本
[18:07] 或者我是通过视频反推的方式
[18:09] 来形成剧本
[18:11] 那么就在剧本这里加一个skill
[18:13] 或者加一个工具
[18:15] 就直接可以调这个视频反推的功能
[18:17] 我上传了视频
[18:18] 它就自然给我生成对应的
[18:20] 然后我就按照后面的标准流传来做
[18:23] 而不需要单独有一个这种功能
[18:25] 而且它生出来的东西
[18:26] 我其实反过来也不好用
[18:29] 我还是要复制最后放到剧本这边来用
[18:32] 好
[18:33] 那接下来我们继续
[18:34] 就在这个账号上来做设计了
[18:36] 那么首先我生成的一个标准的一个版本的话
[18:40] 如果是我的一个新分级
[18:44] 我在这里生成设计的时候
[18:46] 它里面是没有内容的
[18:48] 像这种它都是红框的
[18:51] 那么显示的就是
[18:53] 我只根据前面的标签对应的生成了
[18:57] 具体的提示词和内容
[18:59] 从剧本这里的标签里面
[19:02] 生成的提示词和内容在设计里面
[19:04] 它区分为三种
[19:05] 第一种是人物
[19:06] 第二种是场景
[19:07] 第三种是道具
[19:09] 那么人物场景和道具
[19:11] 我都可以对应的调用一些具体的功能来生成
[19:16] 它的设计
[19:18] 比如说红木家具它没生成
[19:20] 我可以点AI生图
[19:22] 那么具体是调哪些模型
[19:24] 调什么的内容来进行一个生图
[19:27] 但这里我也要说一下
[19:28] 我们自己做这个功能的话
[19:30] 我觉得不能让它这个来做
[19:32] 它这个什么化神
[19:33] 进阶注基
[19:34] 完全看不懂
[19:36] 就基本上它也不显示模型
[19:38] 每一个模型有时候它就是
[19:40] 纯粘都是错的
[19:42] 那么我们实际上我觉得这个地方
[19:44] 也应该是作为一个素材
[19:46] 就是右边它生成了一个一个的对应的
[19:50] 这个标签卡可以保留
[19:52] 这个要重新考虑一下怎么设计
[19:54] 然后也是通过对话的方式
[19:57] 我可以进一步的来完善绑定的图
[20:00] 这些
[20:00] 然后我具体可以调什么模型
[20:02] 还是可以用对话的方式去具体选
[20:05] 就像极梦的生成图片
[20:08] 或者生成视频的那个一样
[20:10] 我选对应的不同模型
[20:12] 比如说我选全的模式
[20:13] 有一些模型它不能用
[20:14] 它就是不能用
[20:15] 那这里也是
[20:16] 主机这些有一些不能用的
[20:18] 不能关联的
[20:19] 它就自然不能用
[20:20] 并且给我提示就可以了
[20:22] 然后这里的提示词论色
[20:24] 这个也是有问题的
[20:26] 我们生成这个东西的话
[20:28] 比如说我用一个写实风格
[20:30] 它当然会生成一个另外的
[20:32] 比如说用快速
[20:33] 现在它这样的话
[20:35] 我快速生成一个
[20:37] 它就会开始生图
[20:38] 然后这个过程很慢
[20:40] 然后我觉得也是应该要改进一下
[20:43] 我们调用模型或者调用什么的话
[20:46] 我们的版本里面
[20:47] 应该是会有一个精度条
[20:49] 或者有一个就是像极梦那种一样
[20:52] 它生成的过程中会先给你一个
[20:54] 就是可以看得见的图
[20:56] 比如说是一个
[20:57] 这个图上面有一些变形的样子
[21:00] 但是生成
[21:01] 就是已经有战位了
[21:02] 生成完再给你
[21:04] 你看这个它生成的就是
[21:05] 感觉很不合适的我这个片
[21:09] 所以我这里
[21:10] 我可能要重新生成
[21:12] 然后它这里的原理就是
[21:13] 我对应的生成这个角色以后
[21:16] 我后面就可以用这个角色
[21:18] 来在后面具体的使用
[21:20] 所以把它驱分为人物场景和道具
[21:23] 然后它支持本地上传
[21:25] 就是我也可以在其他品牌生成
[21:27] 这个来上传
[21:28] 这个我们是需要的
[21:30] 然后角度可以调整这个人物的角度
[21:33] 调用GPU
[21:35] 然后来调
[21:36] 比如说我给它变成斜45度
[21:38] 我给它变成侧面90度
[21:40] 然后根据这个视频
[21:41] 再来生成
[21:42] 然后可以切换一些GPU的具体用的一个
[21:48] 然后繁忙是排队等等
[21:50] 这些功能都是需要的
[21:52] 然后也可以进行高清放大
[21:54] 比如说生成的图
[21:55] 我觉得它清晰度不够
[21:57] 我就给它做一个
[21:58] 高清放大的功能来完成
[22:02] 然后去水印这个功能也是需要的
[22:05] 我们可以调用GPU去
[22:07] 它对你比如说有的是豆包
[22:09] 或者别的生成的
[22:10] 我要用Fotoshop去扣水印的话
[22:12] 等于一个处理
[22:13] 这里它就可以批量的来
[22:15] 进行一个在平台里面
[22:16] 直接实现这个功能
[22:18] 然后像场景道具
[22:21] 这些驱分出来以后
[22:23] 我们就可以根据这个东西来做
[22:26] 在素材这里做保定了
[22:28] 那么第一
[22:29] 我们还增加了一个功能
[22:30] 这个是我增加的功能
[22:31] 我觉得是很需要的
[22:32] 就是我在做第一集的时候
[22:34] 这些东西都设计好了
[22:37] 但是我新建分集到第二集的时候
[22:39] 比如说新的一个分集
[22:41] 我在这里
[22:42] 我进入到设计里面
[22:43] 它啥都没有
[22:44] 其实我做每一集的时候
[22:47] 我可能人物都是固定的
[22:48] 就那么几个人
[22:49] 角色也是固定的
[22:50] 那我就支持一个同步现有的角色
[22:52] 比如说在这个里面
[22:54] 前面后面几集
[22:55] 它在做前面的时候
[22:57] 技术已经用到的这些东西
[22:59] 我直接统不过来就可以了
[23:01] 那么我就可以选择
[23:02] 同步到这里
[23:03] 就会把前面对应的角色
[23:05] 场景这些东西都统不过来
[23:07] 我就不需要再设计一遍了
[23:09] 或者我不需要下载再上传
[23:11] 实现我的这个
[23:12] 就是同步以后
[23:13] 我就可以很方便的来绑定
[23:16] 接下来我们继续看
[23:18] 就是设计之后的素材
[23:21] 在原理上进入到素材以后
[23:23] 实际上就是把前面的设计
[23:25] 前面设计分为三种东西
[23:26] 人物 场景和道具
[23:28] 但它是独立的
[23:29] 人物是人物
[23:30] 场景是场景
[23:31] 道具是道具
[23:32] 它是分开的
[23:32] 完全没有合在一起
[23:35] 那到素材这里
[23:36] 我就需要根据前面
[23:37] 剧本里面对应的描述
[23:39] 画面提示词和场景提示词
[23:41] 把我需要的人物
[23:44] 具体选择哪一个
[23:45] 场景给它绑定起来
[23:47] 还有道具
[23:48] 我要用哪些道具给它绑定起来
[23:50] 那么在这里我是可以切换的
[23:51] 比如说我设计了一个动画的灯
[23:54] 我设计了一个实景的灯
[23:56] 我要用实景的灯
[23:57] 我就切换为实景的灯
[23:59] 然后我要用道具的灯
[24:00] 我就切换为道具的灯
[24:02] 它就会切换
[24:03] 切换完以后
[24:04] 它有一个很好的功能
[24:06] 这个是要保留的
[24:07] 就是在这里把一锁定的切换的东西
[24:11] 在后面分是用到同一个灯的
[24:13] 它全部会重新绑定
[24:15] 全部会改
[24:16] 比如说这里人物
[24:18] 我已经生成三十图了
[24:20] 这里的人他还没绑定一个角色
[24:22] 我就给他绑一个多式图
[24:24] 绑到这以后
[24:25] 他自然的就会把这个角色
[24:27] 设为参考
[24:28] 并且把后续镜头的所有的人
[24:31] 都绑成这个
[24:32] 这样的话我后面一致性
[24:33] 就能保证了
[24:35] 或者说我后面生成以后
[24:36] 我发现这个人不行
[24:37] 我需要重新设置
[24:39] 我就回到这来重新绑一个人
[24:41] 然后再去做后面的这一系列的东西
[24:43] 就可以了
[24:44] 这个功能是保留的
[24:46] 然后这里本地上传AI生成
[24:49] 角度调整高清放大
[24:50] 这些功能都可以保留
[24:51] 其实在前面设计的时候也有
[24:53] 那么它这里其实是进一步的有
[24:56] 可以进一步生成的东西
[24:58] 我觉得这里的按钮和设计的按钮
[25:00] 必须同步
[25:01] 就是我在这里AI生成的
[25:02] 在设计里面
[25:03] 它对应的它应该也要增加
[25:06] 去水印这些它应该也要增加
[25:08] 这样的话设计和素材就统一了
[25:11] 它这里好像没有实现
[25:13] 没有做到
[25:14] 然后我在这里区分了一下
[25:16] 它原来的素材
[25:18] 它只显示了一个就是所有素材
[25:20] 但是有些时候我们需要所有素材
[25:22] 有些时候我们只需要本级的素材
[25:25] 那么这里是可以切换的
[25:28] 然后这里完成以后
[25:31] 这个功能是比较完整的
[25:33] 我觉得是很合理的
[25:35] 然后在这里绑定的所有的东西
[25:37] 那么就从这里开始规定
[25:40] 所有我用绑定的角色和场景
[25:43] 一旦绑定
[25:44] 我推到后面下一步以后
[25:47] 在分镜视频这边
[25:48] 它都应该是同一的
[25:50] 它不能说是因为我前面已经设计了
[25:53] 后面我还自由发挥
[25:54] 造成后面的镜头不稳定
[25:57] 这都是必须保证的
[25:58] 而且它好像现在这个绑定
[26:00] 你看它有的没同步
[26:01] 我觉得是有问题的
[26:02] 比如说在前面这里
[26:04] 我已经绑定的这个男主一号
[26:06] 我有一绑定的女主
[26:08] 在镜头上它显示绑定了
[26:09] 但实际上没绑定
[26:11] 那么它可能识别错了
[26:13] 或者是什么原因
[26:14] 像贾林令这一段
[26:15] 他到后面
[26:16] 他都应该是要绑定这个角色的
[26:19] 这个是他的一个办法后面
[26:21] 可能就一下
[26:21] 但是对我们来说
[26:22] 这个功能是必须本身就完善好的
[26:27] 然后接下来它原本的功能里面
[26:30] 我们之前理解错了
[26:31] 它这有个配音
[26:33] 我们以为是说
[26:34] 在这里就把配音配好了
[26:35] 其实不是
[26:36] 因为在我们的剧本里面
[26:38] 它其实对应的有一个
[26:40] 其实词是深圳场景的
[26:42] 有一个视频台里面
[26:43] 是对应的它是有说话的
[26:46] 很多短剧 漫剧
[26:47] 它都是以说话来支撑整个剧情的
[26:50] 所以在这里配音它会形成
[26:52] 对应每一个
[26:54] 就是我们前面的镜头的配音
[26:57] 比如说这里的素材
[27:00] 它对应镜头一镜头
